DATE,AvgTemp
03-06-2015,42
03-07-2015,46
03-08-2015,39
03-09-2015,35
03-10-2015,38
03-11-2015,34
03-12-2015,36
3/13/2015,36
3/14/2015,39
3/15/2015,42
3/16/2015,45
3/17/2015,47
3/18/2015,47
3/19/2015,50
3/20/2015,50
3/21/2015,51
3/22/2015,47
3/23/2015,48
3/24/2015,46
3/25/2015,46
3/26/2015,47
3/27/2015,49
3/28/2015,50
3/29/2015,48
3/30/2015,45
3/31/2015,41
04-01-2015,41
04-02-2015,40
04-03-2015,43
04-04-2015,45
04-05-2015,44
04-06-2015,44
04-07-2015,40
04-08-2015,43
04-09-2015,43
04-10-2015,42
04-11-2015,42
04-12-2015,41
4/13/2015,45
4/14/2015,46
4/15/2015,43
4/16/2015,41
4/17/2015,42
4/18/2015,45
4/19/2015,49
4/20/2015,50
4/21/2015,53
4/22/2015,50
4/23/2015,48
4/24/2015,51
4/25/2015,50
4/26/2015,48
4/27/2015,46
4/28/2015,44
4/29/2015,48
4/30/2015,47
05-01-2015,45
05-02-2015,43
05-03-2015,43
05-04-2015,48
05-05-2015,51
05-06-2015,53
05-07-2015,50
05-08-2015,49
05-09-2015,46
05-10-2015,44
05-11-2015,46
05-12-2015,44
5/13/2015,39
5/14/2015,40
5/15/2015,42
5/16/2015,45
5/17/2015,49
5/18/2015,48
5/19/2015,47
5/20/2015,47
5/21/2015,46
5/22/2015,49
5/23/2015,48
5/24/2015,49
5/25/2015,52
5/26/2015,54
5/27/2015,51
5/28/2015,52
5/29/2015,53
5/30/2015,48
5/31/2015,46
06-01-2015,46
06-02-2015,49
06-03-2015,48
06-04-2015,47
06-05-2015,45
06-06-2015,46
06-07-2015,47
06-08-2015,47
06-09-2015,46
06-10-2015,43
06-11-2015,40
06-12-2015,41
6/13/2015,46
6/14/2015,50
6/15/2015,52
6/16/2015,55
6/17/2015,56
6/18/2015,56
6/19/2015,52
6/20/2015,52
6/21/2015,53
6/22/2015,52
6/23/2015,56
6/24/2015,51
6/25/2015,51
6/26/2015,50
6/27/2015,47
6/28/2015,49
6/29/2015,48
6/30/2015,48
07-01-2015,46
07-02-2015,46
07-03-2015,47
07-04-2015,48
07-05-2015,50
07-06-2015,52
07-07-2015,47
07-08-2015,47
07-09-2015,47
07-10-2015,48
07-11-2015,53
07-12-2015,52
7/13/2015,51
7/14/2015,53
7/15/2015,55
7/16/2015,51
7/17/2015,48
7/18/2015,48
7/19/2015,50
7/20/2015,46
7/21/2015,43
7/22/2015,45
7/23/2015,49
7/24/2015,51
7/25/2015,51
7/26/2015,50
7/27/2015,50
7/28/2015,48
7/29/2015,54
7/30/2015,56
7/31/2015,54
08-01-2015,56
08-02-2015,49
08-03-2015,48
08-04-2015,47
08-05-2015,50
08-06-2015,48
08-07-2015,50
08-08-2015,54
08-09-2015,53
08-10-2015,50
08-11-2015,47
08-12-2015,48
8/13/2015,48
8/14/2015,50
8/15/2015,47
8/16/2015,47
8/17/2015,48
8/18/2015,46
8/19/2015,46
8/20/2015,45
8/21/2015,54
8/22/2015,53
8/23/2015,51
8/24/2015,46
8/25/2015,47
8/26/2015,49
8/27/2015,49
8/28/2015,51
8/29/2015,51
8/30/2015,49
8/31/2015,48
09-01-2015,51
09-02-2015,48
09-03-2015,47
09-04-2015,47
09-05-2015,47
09-06-2015,48
09-07-2015,48
09-08-2015,50
09-09-2015,53
09-10-2015,49
09-11-2015,51
09-12-2015,49
9/13/2015,53
9/14/2015,52
9/15/2015,49
9/16/2015,47
9/17/2015,46
9/18/2015,46
9/19/2015,47
9/20/2015,50
9/21/2015,49
9/22/2015,47
9/23/2015,46
9/24/2015,47
9/25/2015,47
9/26/2015,48
9/27/2015,47
9/28/2015,46
9/29/2015,45
9/30/2015,50
10-01-2015,48
10-02-2015,48
10-03-2015,53
10-04-2015,51
10-05-2015,50
10-06-2015,47
10-07-2015,52
10-08-2015,51
